timestamp,Aussentemperatur,Ist-Temperatur Heizkreis,Ist-Temperatur Warmwasser,Leistungsaufnahme Heizen gesamt,Leistungsaufnahme Heizen pro Tag,Leistungsaufnahme Warmwasser gesamt,Leistungsaufnahme Warmwasser pro Tag,Puffer-Ist-Temperatur,Puffer-Soll-Temperatur,Rücklauf-Temperatur,Soll-Temperatur Heizkreis,Soll-Temperatur Warmwasser,Vorlauf-Temperatur,Wärmemenge Heizen gesamt,Wärmemenge Heizen pro Tag,Wärmemenge Warmwasser gesamt,Wärmemenge Warmwasser pro Tag
1678765283242,11.100000381469727,25.0,43.70000076293945,520.0,0.0,220.0,0.0,25.0,24.600000381469727,25.0,24.600000381469727,47.5,52.099998474121094,971.0,0.0,675.0,0.0
1678765584243,11.100000381469727,25.0,44.099998474121094,520.0,0.0,220.0,0.0,25.0,24.600000381469727,25.0,24.700000762939453,47.5,53.400001525878906,971.0,0.0,675.0,0.0
1678765885242,11.100000381469727,25.0,44.900001525878906,520.0,0.0,220.0,0.0,25.399999618530273,24.600000381469727,25.399999618530273,24.600000381469727,47.5,53.400001525878906,971.0,0.0,675.0,0.0
1678766185250,11.0,25.0,45.29999923706055,520.0,0.0,220.0,0.0,25.399999618530273,24.700000762939453,25.399999618530273,24.700000762939453,47.5,54.70000076293945,971.0,0.0,675.0,0.0
1678766486257,11.0,25.399999618530273,45.79999923706055,520.0,0.0,220.0,1.0,25.0,24.700000762939453,25.0,24.700000762939453,47.5,54.70000076293945,971.0,0.0,675.0,4.0
1678766787251,11.0,25.0,46.29999923706055,520.0,0.0,220.0,1.0,25.0,24.700000762939453,25.0,24.799999237060547,47.5,54.70000076293945,971.0,0.0,675.0,4.0
1678767088241,11.0,25.0,46.70000076293945,520.0,0.0,220.0,1.0,25.0,24.700000762939453,25.0,24.799999237060547,47.5,55.70000076293945,971.0,0.0,675.0,4.0
1678767388251,11.0,25.399999618530273,47.099998474121094,520.0,0.0,220.0,1.0,25.399999618530273,24.700000762939453,25.399999618530273,24.799999237060547,47.5,55.70000076293945,971.0,0.0,675.0,4.0
1678767689247,11.100000381469727,25.399999618530273,47.5,520.0,0.0,220.0,1.0,25.399999618530273,24.600000381469727,25.399999618530273,24.700000762939453,47.5,44.79999923706055,971.0,0.0,675.0,4.0
1678767990246,11.0,25.399999618530273,47.900001525878906,520.0,0.0,220.0,1.0,25.399999618530273,24.700000762939453,25.399999618530273,24.600000381469727,47.5,27.5,971.0,0.0,675.0,4.0
1678768291250,11.100000381469727,25.399999618530273,47.900001525878906,520.0,0.0,220.0,1.0,25.399999618530273,24.600000381469727,25.399999618530273,24.600000381469727,47.5,27.5,971.0,0.0,675.0,4.0
1678768592254,11.100000381469727,25.399999618530273,47.900001525878906,520.0,0.0,220.0,1.0,25.399999618530273,24.600000381469727,25.399999618530273,24.600000381469727,47.5,26.5,971.0,0.0,675.0,4.0
1678768893239,11.100000381469727,25.399999618530273,47.79999923706055,520.0,0.0,220.0,1.0,25.399999618530273,24.600000381469727,25.399999618530273,24.5,47.5,26.5,971.0,0.0,675.0,4.0
1678769193245,11.199999809265137,25.399999618530273,47.79999923706055,520.0,0.0,220.0,1.0,25.399999618530273,24.5,25.399999618530273,24.5,47.5,26.5,971.0,0.0,675.0,4.0
1678769493246,11.199999809265137,25.399999618530273,47.79999923706055,520.0,0.0,220.0,1.0,25.399999618530273,24.5,25.399999618530273,24.5,47.5,26.5,971.0,0.0,675.0,4.0
1678769794241,11.199999809265137,25.399999618530273,47.70000076293945,520.0,0.0,220.0,1.0,25.399999618530273,24.5,25.399999618530273,24.5,47.5,25.200000762939453,971.0,0.0,675.0,4.0
1678770094247,11.199999809265137,25.399999618530273,47.70000076293945,520.0,0.0,220.0,1.0,25.399999618530273,24.5,25.399999618530273,24.5,47.5,25.200000762939453,971.0,0.0,675.0,6.0
1678770395243,11.199999809265137,25.399999618530273,47.79999923706055,520.0,0.0,220.0,1.0,25.399999618530273,24.5,25.399999618530273,24.5,47.5,25.200000762939453,971.0,0.0,675.0,6.0
1678770696241,11.199999809265137,25.399999618530273,47.900001525878906,520.0,0.0,220.0,1.0,25.399999618530273,24.5,25.399999618530273,24.5,47.5,25.200000762939453,971.0,0.0,675.0,6.0
1678770996248,11.199999809265137,25.399999618530273,47.70000076293945,520.0,0.0,220.0,1.0,25.399999618530273,28.899999618530273,25.399999618530273,28.899999618530273,47.5,24.100000381469727,971.0,0.0,675.0,6.0
1678771296261,11.199999809265137,25.0,47.599998474121094,520.0,0.0,220.0,1.0,25.399999618530273,28.899999618530273,25.399999618530273,28.899999618530273,47.5,24.100000381469727,971.0,0.0,675.0,6.0
1678771597245,11.199999809265137,25.399999618530273,47.79999923706055,520.0,0.0,220.0,1.0,25.399999618530273,28.899999618530273,25.399999618530273,28.899999618530273,47.5,24.100000381469727,971.0,0.0,675.0,6.0
1678771898243,11.199999809265137,25.399999618530273,47.599998474121094,520.0,0.0,220.0,1.0,25.0,28.899999618530273,25.0,28.899999618530273,47.5,24.100000381469727,971.0,0.0,675.0,6.0
1678772198246,11.199999809265137,25.399999618530273,47.20000076293945,520.0,0.0,220.0,1.0,25.0,28.899999618530273,25.0,28.899999618530273,47.5,24.100000381469727,971.0,0.0,675.0,6.0
1678772499239,11.199999809265137,25.0,47.099998474121094,520.0,0.0,220.0,1.0,25.399999618530273,28.899999618530273,25.399999618530273,28.799999237060547,47.5,28.5,971.0,0.0,675.0,6.0
1678772799249,11.199999809265137,25.399999618530273,46.900001525878906,520.0,0.0,220.0,1.0,25.0,28.899999618530273,25.0,28.899999618530273,47.5,28.5,971.0,0.0,675.0,6.0
